Ref_P1,2.77,2.407
Ref_P2,2.77,2.458
Ref_P3,2.77,3.09
Ref_P4,2.78,2.8
Ref_P5,2.78,2.76
Ref_P6,2.8,2.81
Ref_P7,2.8,3.12
Ref_P8,2.73,2.68
Ref_P9,3.07,2.689
Ref_P10,3.07,2.833
Ref_P11,3.07,2.935
Ref_P12,3.07,3.41
Ref_P13,3.07,3.247
Ref_P14,3.09,3.27
Ref_P15,3.09,3.16
Ref_P16,3.09,2.901
Ref_P17,3.4,3.256
Ref_P18,3.38,3.71
Ref_P19,3.38,3.053
Ref_P20,3.36,3.225
Ref_P21,3.39,3.76
Ref_P22,3.36,3.03
Ref_P23,3.36,3.46
Ref_P24,3.36,3.25
Ref_P25,2.8,2.47
Ref_P26,2.8,2.88
Ref_P27,2.79,2.622
Ref_P28,2.78,2.612
Ref_P29,2.78,2.548
Ref_P30,2.79,2.54
Ref_P31,2.79,2.609
Ref_P32,2.67,2.456
Ref_P33,3.11,3.48
Ref_P34,3.08,2.9
Ref_P35,3.05,2.66
Ref_P36,3.05,2.759
Ref_P37,3.1,2.912
Ref_P38,3.15,2.912
Ref_P39,3.09,2.748
Ref_P40,2.83,2.645
Ref_P41,3.37,3.179
Ref_P42,3.37,3.145
Ref_P43,3.38,3.19
Ref_P44,3.38,3.593
Ref_P45,3.37,3.72
Ref_P46,3.37,3.148
Ref_P47,3.37,3.217
Ref_P48,3.1,2.803
